,,accuracy mean,accuracy std,precision-micro mean,precision-micro std,precision-macro mean,precision-macro std,precision-weighted mean,precision-weighted std,recall-micro mean,recall-micro std,recall-macro mean,recall-macro std,recall-weighted mean,recall-weighted std,f1-micro mean,f1-micro std,f1-macro mean,f1-macro std,f1-weighted mean,f1-weighted std
AdaBoostClassifier,winequality_red,0.54846781,0.00000000,0.54846781,0.00000000,0.27935684,0.00000000,0.52391082,0.00000000,0.54846781,0.00000000,0.28080651,0.00000000,0.54846781,0.00000000,0.54846781,0.00000000,0.27683350,0.00000000,0.52936190,0.00000000
AdaBoostClassifier,diabetes,0.75520831,0.00000000,0.75520831,0.00000000,0.73261636,0.00000000,0.75119054,0.00000000,0.75520831,0.00000000,0.71760082,0.00000000,0.75520831,0.00000000,0.75520831,0.00000000,0.72307742,0.00000000,0.75150824,0.00000000
AdaBoostClassifier,wine,0.94382024,0.00000000,0.94382024,0.00000000,0.94511586,0.00000000,0.94422024,0.00000000,0.94382024,0.00000000,0.94836259,0.00000000,0.94382024,0.00000000,0.94382024,0.00000000,0.94622844,0.00000000,0.94356751,0.00000000
AdaBoostClassifier,liver_disorders,0.72463769,0.00000000,0.72463769,0.00000000,0.71893173,0.00000000,0.72388202,0.00000000,0.72463769,0.00000000,0.71238273,0.00000000,0.72463769,0.00000000,0.72463769,0.00000000,0.71387792,0.00000000,0.72257340,0.00000000
AdaBoostClassifier,sonar,0.81490386,0.00240385,0.81490386,0.00240385,0.81903648,0.00154098,0.81971276,0.00103341,0.81490386,0.00240385,0.81396455,0.00154098,0.81490386,0.00240385,0.81490386,0.00240385,0.81341499,0.00222620,0.81425554,0.00240385
AdaBoostClassifier,kdd_synthetic_control,0.74500000,0.00000000,0.74500000,0.00000000,0.77973908,0.00000000,0.77973908,0.00000000,0.74500000,0.00000000,0.74500000,0.00000000,0.74500000,0.00000000,0.74500000,0.00000000,0.72398925,0.00000000,0.72398925,0.00000000
AdaBoostClassifier,segment,0.81818181,0.00000000,0.81818181,0.00000000,0.84920037,0.00000000,0.84920037,0.00000000,0.81818181,0.00000000,0.81818181,0.00000000,0.81818181,0.00000000,0.81818181,0.00000000,0.78903329,0.00000000,0.78903329,0.00000000
AdaBoostClassifier,semeion,0.96359068,0.00000000,0.96359068,0.00000000,0.93158841,0.00000000,0.96238917,0.00000000,0.96359068,0.00000000,0.85591370,0.00000000,0.96359068,0.00000000,0.96359068,0.00000000,0.88866794,0.00000000,0.96188694,0.00000000
AdaBoostClassifier,iris,0.93333334,0.00000000,0.93333334,0.00000000,0.93584406,0.00000000,0.93584406,0.00000000,0.93333334,0.00000000,0.93333334,0.00000000,0.93333334,0.00000000,0.93333334,0.00000000,0.93314219,0.00000000,0.93314219,0.00000000
AdaBoostClassifier,ecoli,0.70535713,0.00000000,0.70535713,0.00000000,0.41915467,0.00000000,0.68638694,0.00000000,0.70535713,0.00000000,0.41708186,0.00000000,0.70535713,0.00000000,0.70535713,0.00000000,0.38499236,0.00000000,0.65621942,0.00000000
AdaBoostClassifier,glass,0.57943922,0.00000000,0.57943922,0.00000000,0.46108195,0.00000000,0.54840249,0.00000000,0.57943922,0.00000000,0.43274486,0.00000000,0.57943922,0.00000000,0.57943922,0.00000000,0.41624212,0.00000000,0.52073896,0.00000000
